wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
6455.598,20,2.523,-1.34,59.3,56.8,65.8,62.6,40.7,66.2,63.3,70.8,31.2,62.1,60.4
6471.662,20,2.525,-0.686,93.8,92.4,98.8,96.7,74.8,106.2,98,105.2,65.8,95.1,95.9
6499.65,20,2.523,-0.818,86.5,85.6,95.9,89.5,66.7,99.6,92.3,99,59.1,91.9,89.6
4743.821,21,1.4478,0.35,9.7,9,14.7,12.3,5.4,15.4,13.3,16.7,4.5,13.5,11.5
5081.57,21,1.4478,0.3,9.8,9.2,14.5,12.7,4.8,16.4,12.8,15.9,5.6,11.5,12
5520.497,21,1.8649,0.55,8.4,6.9,9.8,9.8,2.8,9,10.2,13.2,3.5,9.9,9.1
5671.821,21,1.4478,0.55,15.7,16.1,22,19.5,7.8,23,20.6,24.6,6.4,19.7,19.3
5526.82,21.1,1.77,0.14,79.9,75.8,87.2,77.2,69.4,87.8,82.4,90.4,61.9,74.5,88.3
5657.87,21.1,1.507,-0.3,73.1,67.7,72.5,68.4,59.5,73.8,69.9,81.5,50.1,66.5,76.1
5684.19,21.1,1.507,-0.95,39.6,35.8,42.1,37.5,31.8,44.3,42.9,48.5,24.8,36.6,45
6245.63,21.1,1.507,-1.03,37.1,33.7,39.6,35.9,28.5,41,36.5,46.5,21.9,33,42
6604.578,21.1,1.3569,-1.15,39.1,36.4,41.9,37.5,28.2,41.9,39.1,48.8,21.6,36.4,42.5
4465.802,22,1.7393,-0.163,40.7,40.4,50.2,46.5,28.8,53.7,48.6,53.6,22.1,46.7,46
4555.485,22,0.8484,-0.488,66.3,66.1,74.1,79.5,53,77.5,77.1,80.1,47.4,72.1,73.2
4758.12,22,2.2492,0.425,42.9,42.4,51.6,47.9,31.9,54.1,49.4,53,24.6,47.6,46.9
4759.272,22,2.2555,0.514,47.2,46.6,55.6,52.2,35.3,58.2,54.1,57.5,28.3,51.6,52.4
4820.41,22,1.5024,-0.439,43.8,42.9,55.2,51.6,31.3,57.7,54.3,56.8,24.8,50.4,50.4
4913.616,22,1.8731,0.161,50.9,51.3,60.5,56.9,40.5,63.9,59.6,57.4,31.8,59.2,57.1
5022.871,22,0.8258,-0.434,74.4,74,83.9,80.6,60.7,87,83.4,86.6,53.4,81.1,79
5113.448,22,1.4431,-0.783,27.6,27.3,38.5,34.9,19.5,42.7,36.2,39.3,13.7,34.5,34.2
5147.479,22,0,-2.012,35.7,36.4,48.4,46.4,24.9,52.6,49.7,50.5,20.6,48.2,44.9
5219.7,22,0.0211,-2.236,28.1,27.5,40,36.5,17.7,43.1,39.3,41.4,13.3,37.1,35.2
5295.774,22,1.0665,-1.633,15.1,13.9,,17.6,8,22.9,19.1,21.5,5.5,18.1,
5490.15,22,1.4601,-0.933,21.8,21.7,30.7,28,15.6,35.1,30.1,32.3,10.5,28.3,27
